concessionaria;ano_do_pnv_snv;rodovia_uf;sentido;subtipo_de_pista;numero_de_faixas;km_m_inicial;latitude_inicial;latitude_final;km_m_final;longitude_inicial;longitude_final
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;2;335,832;-20,630627;-20,633637;336,215;-40,538220;-40,540188
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;336,216;-20,633638;-20,690308;357,324;-40,540189;-40,700915
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;2;339,213;-20,645086;-20,648278;339,774;-40,564094;-40,568255
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;339,775;-20,648277;-20,689661;357,085;-40,568254;-40,698776
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;2;357,086;-20,689660;-20,690223;357,327;-40,698775;-40,700966
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;357,325;-20,690307;-20,692172;357,781;-40,700914;-40,704576
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Dupla;2;357,328;-20,690222;-20,692108;357,779;-40,700965;-40,704648
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;2;357,780;-20,692107;-20,695327;358,296;-40,704647;-40,708216
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;357,782;-20,692173;-20,697084;358,608;-40,704575;-40,710554
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;358,297;-20,695328;-20,699484;359,170;-40,708217;-40,715161
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;2;358,609;-20,697083;-20,698687;358,996;-40,710553;-40,713806
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;358,997;-20,698688;-20,721227;362,882;-40,713805;-40,738919
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;2;359,171;-20,699483;-20,702447;359,517;-40,715160;-40,716415
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;359,518;-20,702446;-20,721243;362,891;-40,716414;-40,739076
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;362,883;-20,721226;-20,723118;363,099;-40,738918;-40,739637
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Dupla;2;362,892;-20,721244;-20,733118;364,651;-40,739075;-40,749336
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Dupla;2;363,100;-20,723117;-20,734669;364,992;-40,739636;-40,752115
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;364,652;-20,733119;-20,734662;365,132;-40,749335;-40,753403
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;364,993;-20,734668;-20,734766;365,131;-40,752114;-40,753409
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;365,132;-20,734765;-20,783382;373,223;-40,753408;-40,781429
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;365,133;-20,734661;-20,783349;373,220;-40,753402;-40,781522
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Dupla;2;373,221;-20,783348;-20,786921;373,678;-40,781521;-40,783449
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;373,224;-20,783383;-20,785412;373,451;-40,781428;-40,782106
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Dupla;2;373,452;-20,785413;-20,787164;373,711;-40,782105;-40,783650
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;373,679;-20,786922;-20,787145;373,757;-40,783450;-40,784122
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;373,712;-20,787165;-20,805038;379,518;-40,783651;-40,830958
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;373,758;-20,787146;-20,804977;379,515;-40,784123;-40,831036
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;379,516;-20,804975;-20,865632;393,786;-40,831035;-40,923223
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;379,519;-20,805039;-20,868564;395,752;-40,830959;-40,940471
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;2;393,787;-20,865631;-20,865841;394,158;-40,923222;-40,926657
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;394,159;-20,865842;-20,882251;400,274;-40,926656;-40,977956
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;2;395,753;-20,868563;-20,870812;396,221;-40,940470;-40,944199
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;396,222;-20,870811;-21,009492;426,351;-40,944198;-41,142291
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;2;400,275;-20,882252;-20,885540;400,878;-40,977955;-40,982353
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;400,879;-20,885539;-20,900277;404,839;-40,982352;-41,014113
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;2;404,840;-20,900276;-20,900080;405,324;-41,014112;-41,018555
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;405,325;-20,900079;-21,009428;426,353;-41,018554;-41,142348
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;426,352;-21,009493;-21,011700;426,874;-41,142290;-41,146583
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;426,354;-21,009427;-21,009653;426,437;-41,142347;-41,143108
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;426,438;-21,009652;-21,011649;426,876;-41,143107;-41,146655
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;426,875;-21,011699;-21,055897;435,098;-41,146582;-41,197178
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;426,877;-21,011648;-21,045126;433,279;-41,146654;-41,184563
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;2;433,280;-21,045127;-21,054245;434,825;-41,184562;-41,195248
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;434,826;-21,054244;-21,120677;446,501;-41,195247;-41,272684
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;2;435,099;-21,055896;-21,058753;436,099;-41,197179;-41,205377
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;436,100;-21,058754;-21,128102;447,588;-41,205376;-41,278445
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;2;446,502;-21,120678;-21,127535;447,380;-41,272683;-41,276636
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;447,381;-21,127534;-21,143948;449,864;-41,276635;-41,270657
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;2;447,589;-21,128101;-21,129334;447,861;-41,278444;-41,280446
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;447,862;-21,129335;-21,151017;450,715;-41,280445;-41,272477
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;2;449,865;-21,143947;-21,148861;450,433;-41,270656;-41,271465
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;450,434;-21,148862;-21,202229;457,952;-41,271464;-41,300801
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;2;450,716;-21,151018;-21,152211;450,928;-41,272476;-41,274038
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;450,929;-21,152210;-21,215812;459,568;-41,274039;-41,296933
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;2;457,953;-21,202228;-21,207025;458,511;-41,300800;-41,298826
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Crescente;Simples;1;458,512;-21,207026;-21,221904;461,054;-41,298825;-41,308308
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;2;459,569;-21,215811;-21,220531;460,853;-41,296932;-41,307209
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;BR-101/ES;Decrescente;Simples;1;460,854;-21,220532;-21,221811;461,054;-41,307208;-41,308377
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;Contorno de Iconha/ES;Decrescente;Dupla;2;0,000;-20,787028;-20,804158;6,915;-40,783355;-40,830114
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;Contorno de Iconha/ES;Crescente;Dupla;2;0,000;-20,786906;-20,802884;6,505;-40,783450;-40,826583
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;Contorno de Iconha/ES;Crescente;Simples;1;6,506;-20,802885;-20,804976;7,044;-40,826582;-40,831037
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;Contorno de Iconha/ES;Decrescente;Simples;1;6,916;-20,804157;-20,805037;7,044;-40,830113;-40,830957
ECOPONTE;2017;Acesso N 01/RJ;Crescente;Simples;2;0,000;-22,880573;-22,878420;0,810;-43,107048;-43,114530
ECOPONTE;2017;Acesso N 07/RJ;Crescente;Simples;2;0,000;-22,885376;-22,878420;0,837;-43,114077;-43,114530
ECOPONTE;2017;R Rio de Janeiro/RJ;Crescente;Simples;2;0,000;-22,889744;-22,895674;0,719;-43,215930;-43,213119
ECOPONTE;2017;BR-101/RJ;Decrescente;Dupla;4;335,397;-22,886090;-22,887875;333,939;-43,229320;-43,217610
ECOPONTE;2017;R Elevado Perimetral/RJ;Crescente;Dupla;4;0,000;-22,891710;-22,889744;0,240;-43,215020;-43,215930
ECOPONTE;2017;R Bicalho/RJ;Crescente;Dupla;4;0,000;-22,906550;-22,891858;1,756;-43,209560;-43,214870
ECOPONTE;2017;BR-101/RJ;Crescente;Dupla;2;317,176;-22,841480;-22,877440;321,600;-43,096700;-43,110707
ECOPONTE;2017;N João de Deus/RJ;Crescente;Dupla;2;0,000;-22,859560;-22,861923;0,627;-43,103170;-43,107368
ECOPONTE;2017;N Rob Silveira/RJ;Crescente;Dupla;4;0,000;-22,899360;-22,885376;1,684;-43,110800;-43,114077
ECOPONTE;2017;N Boaventura/RJ;Crescente;Dupla;3;0,000;-22,880730;-22,880573;0,671;-43,100530;-43,107048
ECOPONTE;2017;N Quintino/RJ;Crescente;Dupla;3;0,000;-22,913990;-22,899360;2,205;-43,096240;-43,110800
ECOPONTE;2017;BR-101/RJ;Crescente;Dupla;4;322,067;-22,878420;-22,884840;333,623;-43,114530;-43,216940
ECOPONTE;2017;BR-101/RJ;Decrescente;Dupla;4;333,623;-22,884830;-22,878720;322,067;-43,216720;-43,114600
ECOPONTE;2017;Acesso N 02/RJ;Crescente;Simples;2;0,000;-22,878720;-22,880668;0,967;-43,114600;-43,107049
ECOPONTE;2017;Acesso N 03/RJ;Crescente;Simples;2;321,600;-22,877440;-22,878420;322,067;-43,110707;-43,114530
ECOPONTE;2017;Acesso N 04/RJ;Crescente;Simples;2;0,000;-22,878720;-22,882738;0,449;-43,114600;-43,115748
ECOPONTE;2017;Acesso N 05/RJ;Crescente;Simples;2;0,000;-22,880875;-22,881858;0,420;-43,109903;-43,113949
ECOPONTE;2017;Acesso N 06/RJ;Crescente;Simples;2;0,000;-22,878720;-22,878205;0,726;-43,114600;-43,110546
ECOPONTE;2017;Acesso N 08/RJ;Crescente;Simples;2;0,000;-22,878720;-22,885578;0,815;-43,114600;-43,115364
ECOPONTE;2017;Acesso N 09/RJ;Crescente;Simples;2;0,000;-22,877768;-22,882459;0,704;-43,110643;-43,114939
ECOPONTE;2017;Acesso N 10/RJ;Crescente;Simples;1;0,000;-22,882010;-22,879608;0,377;-43,113204;-43,110867
ECOPONTE;2017;Acesso N 11/RJ;Crescente;Simples;1;0,000;-22,879952;-22,878734;0,460;-43,112499;-43,112300
ECOPONTE;2017;Acesso N 11 A/RJ;Crescente;Simples;1;0,000;-22,879125;-22,879732;0,151;-43,110943;-43,112080
ECOPONTE;2017;Acesso N 12/RJ;Crescente;Simples;2;0,000;-22,878254;-22,878425;0,308;-43,110198;-43,113214
ECOPONTE;2017;Acesso N 12 A/RJ;Crescente;Simples;1;0,000;-22,878708;-22,878304;0,229;-43,112328;-43,110203
ECOPONTE;2017;Acesso N 13/RJ;Crescente;Simples;2;0,000;-22,877911;-22,880689;0,420;-43,113880;-43,112911
ECOPONTE;2017;Acesso N 14/RJ;Crescente;Simples;1;0,000;-22,878195;-22,878146;0,221;-43,110470;-43,109954
ECOPONTE;2017;Acesso N 15/RJ;Crescente;Simples;1;0,000;-22,878285;-22,878358;0,090;-43,110203;-43,109365
ECOPONTE;2017;Acesso N 15 A/RJ;Crescente;Simples;2;0,000;-22,878057;-22,878226;0,113;-43,109154;-43,110199
ECOPONTE;2017;Acesso N 15 B/RJ;Crescente;Simples;1;0,000;-22,878232;-22,878172;0,009;-43,109226;-43,109281
ECOPONTE;2017;Acesso N 16/RJ;Crescente;Simples;1;0,000;-22,876374;-22,878358;0,317;-43,110633;-43,112908
ECOPONTE;2017;Acesso N 17/RJ;Crescente;Simples;1;0,000;-22,878324;-22,877871;0,099;-43,113141;-43,113759
ECOPONTE;2017;Acesso N 18/RJ;Crescente;Simples;1;0,000;-22,878372;-22,878920;0,063;-43,112177;-43,112529
ECOPONTE;2017;Acesso N 18 A/RJ;Crescente;Simples;1;0,000;-22,878388;-22,878758;0,043;-43,112394;-43,112584
ECOPONTE;2017;Acesso N 19/RJ;Crescente;Simples;1;0,000;-22,878746;-22,879171;0,212;-43,112277;-43,112049
ECOPONTE;2017;Acesso R 1/RJ;Crescente;Simples;2;0,000;-22,884840;-22,894015;0,669;-43,216940;-43,215458
ECOPONTE;2017;Acesso R 1 A/RJ;Crescente;Simples;2;0,000;-22,884840;-22,890453;1,020;-43,216940;-43,217230
ECOPONTE;2017;Acesso R 2/RJ;Crescente;Simples;2;333,624;-22,884840;-22,888895;334,386;-43,216940;-43,221387
ECOPONTE;2017;Acesso R 2 A/RJ;Decrescente;Simples;2;333,939;-22,887875;-22,884830;333,624;-43,217610;-43,216720
ECOPONTE;2017;Acesso R 4/RJ;Crescente;Simples;2;0,000;-22,891858;-22,884830;0,827;-43,214870;-43,216720
ECOPONTE;2017;Acesso R 4 A/RJ;Crescente;Simples;2;0,000;-22,889744;-22,884830;0,560;-43,215930;-43,216720
ECOSUL;1996;BR-116/RS;Crescente;Simples;1;400,500;-30,870564;-31,629932;511,100;-51,806303;-52,324386
ECOSUL;1996;BR-116/RS;Crescente;Dupla;2;511,101;-31,631633;-31,735989;525,000;-52,326692;-52,393553
ECOSUL;1996;BR-116/RS;Crescente;Simples;1;525,001;-31,735989;-32,565205;661,000;-52,393553;-53,381345
ECOSUL;1996;BR-116/RS;Decrescente;Simples;1;400,500;-30,870564;-31,630083;511,100;-51,806303;-52,324275
ECOSUL;1996;BR-116/RS;Decrescente;Dupla;2;511,101;-31,631633;-31,735989;525,000;-52,326692;-52,393553
ECOSUL;1996;BR-116/RS;Decrescente;Simples;1;525,001;-31,735989;-32,565205;661,000;-52,393553;-53,381345
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;105,501;-23,009978;-23,188614;145,700;-45,519170;-45,858420
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;145,701;-23,188618;-23,198075;147,860;-45,858429;-45,876540
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;147,861;-23,198075;-23,237733;154,050;-45,876540;-45,919414
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;154,051;-23,237715;-23,257868;157,720;-45,919437;-45,947675
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;157,721;-23,257873;-23,301795;167,000;-45,947683;-46,024164
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;167,001;-23,301797;-23,304463;167,930;-46,024174;-46,032930
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;167,931;-23,304463;-23,397932;197,500;-46,032930;-46,296209
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;197,501;-23,397932;-23,401962;199,300;-46,296209;-46,313193
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;199,301;-23,401962;-23,411848;203,840;-46,313193;-46,355100
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;203,841;-23,411851;-23,412272;204,170;-46,355109;-46,358040
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;204,171;-23,412273;-23,413924;204,790;-46,358050;-46,364078
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;204,791;-23,413925;-23,414855;205,100;-46,364088;-46,367067
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;205,101;-23,414859;-23,418171;206,360;-46,367075;-46,379114
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;206,361;-23,418174;-23,422994;208,300;-46,379123;-46,396591
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;208,301;-23,422997;-23,425623;209,150;-46,396600;-46,403868
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;209,151;-23,425626;-23,525814;231,600;-46,403877;-46,588314
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;0,000;-22,514076;-22,606553;25,300;-44,700051;-44,895807
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;25,301;-22,606553;-22,622168;27,600;-44,895807;-44,909425
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;27,601;-22,622168;-22,636534;30,900;-44,909425;-44,936176
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;30,901;-22,636534;-22,645157;32,700;-44,936176;-44,950300
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;32,701;-22,645151;-22,655626;34,350;-44,950292;-44,960760
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;34,351;-22,655620;-22,660114;35,650;-44,960753;-44,972300
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;35,651;-22,660112;-22,862941;72,000;-44,972290;-45,237111
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;72,001;-22,862935;-22,873182;74,000;-45,237105;-45,252355
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;74,001;-22,873220;-22,988697;100,600;-45,252340;-45,477121
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;100,601;-22,988692;-22,995675;102,200;-45,477113;-45,490986
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;102,201;-22,995671;-23,185750;145,000;-45,490977;-45,852410
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;145,001;-23,185746;-23,192543;146,600;-45,852401;-45,866046
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;146,601;-23,192539;-23,228047;152,530;-45,866037;-45,908858
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;152,531;-23,228041;-23,233376;153,360;-45,908849;-45,914578
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;153,361;-23,233371;-23,236851;153,900;-45,914570;-45,918309
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;153,901;-23,236846;-23,259419;158,000;-45,918301;-45,949853
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;158,001;-23,259416;-23,347597;182,800;-45,949844;-46,167288
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;182,801;-23,347593;-23,349198;183,300;-46,167279;-46,171898
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;183,301;-23,349195;-23,400462;198,400;-46,171889;-46,304548
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;198,401;-23,400461;-23,406311;201,700;-46,304538;-46,335749
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;201,701;-23,406307;-23,409903;202,700;-46,335740;-46,344445
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;202,701;-23,409901;-23,412197;204,000;-46,344435;-46,356386
NOVADUTRA;1999;BR-116/SP;Decrescente;Dupla;2;204,001;-23,412195;-23,414880;205,060;-46,356376;-46,366654
NOVADUTRA;1999;BR-116/SP;Decrescente;Multifaixa;3;205,061;-23,414876;-23,527352;231,600;-46,366645;-46,589258
NOVADUTRA;1999;BR-116/RJ;Decrescente;Dupla;2;163,000;-22,819927;-22,563715;265,700;-43,320337;-44,122139
NOVADUTRA;1999;BR-116/RJ;Decrescente;Multifaixa;3;265,701;-22,558072;-22,542414;274,000;-44,125472;-44,190952
NOVADUTRA;1999;BR-116/RJ;Decrescente;Dupla;2;274,001;-22,542414;-22,513002;333,600;-44,190952;-44,698055
NOVADUTRA;1999;BR-116/RJ;Crescente;Dupla;2;163,000;-22,819896;-22,733657;190,210;-43,320222;-43,556253
NOVADUTRA;1999;BR-116/RJ;Crescente;Dupla;2;190,211;-22,733657;-22,718370;205,480;-43,556253;-43,701357
NOVADUTRA;1999;BR-116/RJ;Crescente;Dupla;2;205,481;-22,718352;-22,620205;239,000;-43,701354;-43,926035
NOVADUTRA;1999;BR-116/RJ;Crescente;Multifaixa;3;239,001;-22,620200;-22,599698;242,000;-43,926043;-43,940309
NOVADUTRA;1999;BR-116/RJ;Crescente;Dupla;2;242,001;-22,599693;-22,584591;255,000;-43,940317;-44,049964
NOVADUTRA;1999;BR-116/RJ;Crescente;Multifaixa;3;255,001;-22,584593;-22,591757;258,000;-44,049973;-44,077655
NOVADUTRA;1999;BR-116/RJ;Crescente;Dupla;2;258,001;-22,591757;-22,513002;333,600;-44,077655;-44,698055
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;0,000;-22,514010;-22,584800;22,200;-44,700097;-44,878915
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;22,201;-22,584807;-22,604302;24,960;-44,878922;-44,893376
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;24,961;-22,604308;-22,625732;28,620;-44,893429;-44,917806
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;28,621;-22,625735;-22,638076;31,080;-44,917815;-44,937289
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;31,081;-22,638083;-22,923249;85,340;-44,937295;-45,347089
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;85,341;-22,923253;-22,929227;86,815;-45,347097;-45,359020
NOVADUTRA;1999;BR-116/SP;Crescente;Dupla;2;86,816;-22,929227;-23,000027;103,230;-45,359020;-45,499923
NOVADUTRA;1999;BR-116/SP;Crescente;Multifaixa;3;103,231;-23,000031;-23,009972;105,500;-45,499932;-45,519162
